uid,plant_name,city,country,region,sub_region,latitude,longitude,status,plant_type,capacity_p,capacity_1,capacity_n,capacity_s,fuel,certificat,owner_perm,owner_name,owner_lei,owner_sour,parent_per,parent_nam
GPPMPAK0014,"Faruki Pulp Mills Ltd, Sargodha Mill",Sargodha,Pakistan,Asia,South Asia,32.087092599999998,72.658452600000004,Operating,Pulp,"68,000",N/A, ,https://www.sbp.org.pk/departments/ihfd/Nov-12/Domestic%20Experiences%20in%20PF-Case%20Study.pdf,No information,No information,5036793035,Faruki Pulp Mills Ltd,No information, ,5036793035,Faruki Pulp Mills Ltd
GPPMPAK0015,"Atas Paper (Pvt) Ltd, A company of Sayid Paper Group",Sheikhupura,Pakistan,Asia,South Asia,31.661432760000000,74.145488720000003,Operating,Paper,N/A,"45,000", ,"https://www.paperindex.com/profile/sayid-paper-mills-pvt-ltd/09120613/144#:~:text=We%20manufacture%20world%20class%20paper,a%20capacity%20of%20140ton%2Fday",No information,No information,No information,"Atas Paper (Pvt) Ltd, A company of Sayid Paper Group",No information, ,No information,No information
GPPMPAK0016,Mandiali Paper Mills (Pvt) Ltd,Sheikhupura,Pakistan,Asia,South Asia,31.660477230000001,74.148974159999995,Operating,Pulp and paper,N/A,"22,000", ,https://www.companiess.com/mandiali_paper_mills_pvt_ltd_info1705541.html,No information,No information,No information,Mandiali Paper Mills (Pvt) Ltd,No information,http://mandiali.com/,No information,No information
GPPMPAK0017,"Zaman Paper & Board Mills Private Limited, A company of Flying Group of Companies",Sheikhupura,Pakistan,Asia,South Asia,31.676293810000001,74.093312030000007,Operating,Pulp and paper,"18,000","12,000", ,http://www.flyingcement.com/page/profile-of-the-company/associated-companies.html,No information,No information,No information,"Zaman Paper & Board Mills Private Limited, A company of Flying Group of Companies",No information,http://www.flyingpaper.com.pk/,No information,Flying Group of Companies
GPPMPAK0018,Lucky Paper Mill,Jamshoro,Pakistan,Asia,South Asia,25.354252209999999,68.275088350000004,Operating,Paper and packaging,N/A,No information, , ,No information,No information,No information,Lucky Paper Mill,No information, ,No information,No information
GPPMPAK0019,"Bin Qasim Packages Ltd, Karachi Corrugating Unit",Karachi,Pakistan,Asia,South Asia,24.846389830000000,67.171631020000007,Operating,Paper and packaging,N/A,"20,000", ,https://www.binqasimpackages.com/,No information,FSC,No information,"Bin Qasim Packages Ltd, Karachi Corrugating Unit",No information, ,No information,No information
GPPMPAK0020,Karachi Paper and Board Mills,Karachi,Pakistan,Asia,South Asia,24.843339960000002,67.152721069999998,Operating,Paper,N/A,"15,000", ,https://khawarpapermart.com/10-paper-mills-in-pakistan/,No information,No information,No information,Karachi Paper and Board Mills,No information, ,No information,No information
GPPMPAK0021,Orient Straw Board & Paper Mills Ltd,Karachi,Pakistan,Asia,South Asia,24.857675400000002,67.003011500000000,Operating,Pulp and paper,"7,500","11,000", ,https://paper-production-in-pakistan.blogspot.com/2010/11/paper-mills-in-pakistan.html ,No information,No information,5086968760,Orient Straw Board & Papers Mills Ltd,No information, ,5086968760,Orient Straw Board & Paper Mills Ltd
GPPMPAK0022,Pakistan Paper Products,Karachi,Pakistan,Asia,South Asia,24.900311680000002,66.991228939999999,Operating,Packaging,N/A,"200,000", ,"https://www.brecorder.com/news/40216884#:~:text=The%20company%20produces%20and%20sells,square%20meters%20of%20pro%2Dlabels.",No information,No information,No information,Pakistan Paper Products,No information, ,No information,No information
GPPMPAK0023,Allied Paper,Thatta,Pakistan,Asia,South Asia,25.019832619999999,67.112350070000005,Operating,Pulp and paper,"9,000","13,000", ,https://pdf.usaid.gov/pdf_docs/pnabw238.pdf,No information,No information,No information,Allied Paper,No information, ,No information,No information
