OBJECTID_1,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM,VARIETY,MAJORITY,MAJORITY_COUNT,MAJORITY_PERCENT,MINORITY,MINORITY_COUNT,MINORITY_PERCENT,MEDIAN,PCT90
3838,4.000000000000000,0.000277777777778,638,1574,936,1080.500000000000000,333.050671820370326,4322.000000000000000,4,638,1,25.0000000,638,1,25.0000000,1016,1574
3839,5.000000000000000,0.000347222222222,795,2647,1852,1307.799999999999955,677.117242432948160,6539.000000000000000,5,795,1,20.0000000,795,1,20.0000000,1063,2647
3840,3.000000000000000,0.000208333333333,849,1715,866,1284.333333333333258,353.558418872405809,3853.000000000000000,3,849,1,33.3333015,849,1,33.3333015,1289,1715
3841,4.000000000000000,0.000277777777778,871,1639,768,1170.750000000000000,284.484072489129005,4683.000000000000000,4,871,1,25.0000000,871,1,25.0000000,1072,1639
3842,4.000000000000000,0.000277777777778,726,955,229,867.000000000000000,95.013156983651484,3468.000000000000000,4,726,1,25.0000000,726,1,25.0000000,834,955
3843,4.000000000000000,0.000277777777778,1157,2334,1177,1514.000000000000000,478.303773767257667,6056.000000000000000,4,1157,1,25.0000000,1157,1,25.0000000,1219,2334
3844,4.000000000000000,0.000277777777778,1157,2334,1177,1514.000000000000000,478.303773767257667,6056.000000000000000,4,1157,1,25.0000000,1157,1,25.0000000,1219,2334
3845,4.000000000000000,0.000277777777778,1157,2334,1177,1514.000000000000000,478.303773767257667,6056.000000000000000,4,1157,1,25.0000000,1157,1,25.0000000,1219,2334
3846,4.000000000000000,0.000277777777778,297,1070,773,689.750000000000000,280.050330297966241,2759.000000000000000,4,297,1,25.0000000,297,1,25.0000000,610,1070
3847,4.000000000000000,0.000277777777778,959,1544,585,1220.250000000000000,242.320423200356771,4881.000000000000000,4,959,1,25.0000000,959,1,25.0000000,1016,1544
3848,4.000000000000000,0.000277777777778,678,4119,3441,2032.500000000000000,1403.181830697647001,8130.000000000000000,4,678,1,25.0000000,678,1,25.0000000,824,4119
3849,4.000000000000000,0.000277777777778,573,2846,2273,1219.750000000000000,942.799653956236853,4879.000000000000000,4,573,1,25.0000000,573,1,25.0000000,650,2846
3850,4.000000000000000,0.000277777777778,561,1167,606,880.250000000000000,219.953830382650978,3521.000000000000000,4,561,1,25.0000000,561,1,25.0000000,830,1167
3851,4.000000000000000,0.000277777777778,150,2335,2185,1377.750000000000000,815.474516769224465,5511.000000000000000,4,150,1,25.0000000,150,1,25.0000000,1197,2335
3852,4.000000000000000,0.000277777777778,150,1829,1679,1102.250000000000000,604.363042797952744,4409.000000000000000,4,150,1,25.0000000,150,1,25.0000000,1197,1829
3853,4.000000000000000,0.000277777777778,266,924,658,535.250000000000000,240.864458772978793,2141.000000000000000,4,266,1,25.0000000,266,1,25.0000000,450,924
3854,4.000000000000000,0.000277777777778,504,726,222,615.500000000000000,86.378527424354701,2462.000000000000000,4,504,1,25.0000000,504,1,25.0000000,565,726
3855,5.000000000000000,0.000347222222222,640,1036,396,766.200000000000045,138.927894967137547,3831.000000000000000,5,640,1,20.0000000,640,1,20.0000000,727,1036
3856,4.000000000000000,0.000277777777778,649,1994,1345,1511.000000000000000,513.140818879184508,6044.000000000000000,4,649,1,25.0000000,649,1,25.0000000,1650,1994
3857,5.000000000000000,0.000347222222222,839,2246,1407,1357.599999999999909,511.173003982017804,6788.000000000000000,5,839,1,20.0000000,839,1,20.0000000,1391,2246
3858,4.000000000000000,0.000277777777778,887,1246,359,1111.500000000000000,146.479520752902516,4446.000000000000000,4,887,1,25.0000000,887,1,25.0000000,1075,1246
