VALUE,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM,VARIETY,MAJORITY,MAJORITY_COUNT,MAJORITY_PERCENT,MINORITY,MINORITY_COUNT,MINORITY_PERCENT,MEDIAN,PCT90
111,11279.000000000000000,0.783263888888883,0,14931,14931,297.295504920649080,786.483008162312331,3353196.000000000000000,1393,0,3322,29.4529991,19,1,0.0089000,41,797
112,9063.000000000000000,0.629374999999995,0,18005,18005,255.952554341829284,831.762333780572703,2319698.000000000000000,1123,0,3088,34.0726013,111,1,0.0110000,18,553
113,7804.000000000000000,0.541944444444440,0,21459,21459,361.362890825217505,925.585764790174039,2820076.000000000000000,1307,0,2696,34.5463982,182,1,0.0128000,53,924
114,8013.000000000000000,0.556458333333329,0,44542,44542,536.548608511167231,1588.766480175974493,4299364.000000000000000,1540,0,577,7.2007999,43,1,0.0125000,134,1279
115,8757.000000000000000,0.608124999999995,0,12324,12324,176.358684480986568,391.721413938758474,1544373.000000000000000,876,0,1727,19.7213993,191,1,0.0114000,75,427
116,11745.000000000000000,0.815624999999993,0,20744,20744,124.190719455086921,526.711163937244919,1458620.000000000000000,986,0,7643,65.0745010,68,1,0.0085000,0,333
117,2859.000000000000000,0.198541666666665,0,35851,35851,669.863588667367367,2507.781417909831816,1915140.000000000000000,917,0,478,16.7191010,15,1,0.0350000,150,979
118,13264.000000000000000,0.921111111111104,0,21611,21611,70.179131483715381,625.160556963635031,930856.000000000000000,576,0,9915,74.7511978,5,1,0.0075000,0,45
119,1161.000000000000000,0.080624999999999,0,10676,10676,269.751937984495896,659.981435908196545,313182.000000000000000,400,0,294,25.3230000,23,1,0.0861000,36,780
120,1357.000000000000000,0.094236111111110,0,8689,8689,245.274871039056706,459.795445269811466,332838.000000000000000,461,0,150,11.0537996,3,1,0.0737000,118,601
121,1748.000000000000000,0.121388888888888,0,19816,19816,326.025171624714176,810.504770006887838,569892.000000000000000,597,0,242,13.8444004,19,1,0.0572000,150,774
122,21044.000000000000000,1.461388888888877,0,14003,14003,80.790961794335686,320.897088681820151,1700165.000000000000000,989,0,12945,61.5139999,5,1,0.0048000,0,217
123,61.000000000000000,0.004236111111111,1352,91252,89900,41220.721311475412222,21050.271900530577113,2514464.000000000000000,61,1352,1,1.6393000,1352,1,1.6393000,45237,66126
124,177.000000000000000,0.012291666666667,0,126272,126272,36640.779661016946193,24225.179261714147287,6485418.000000000000000,174,0,4,2.2599001,13,1,0.5650000,38377,65351
125,137.000000000000000,0.009513888888889,0,138368,138368,38092.481751824794628,31601.552509700984956,5218670.000000000000000,118,0,20,14.5985003,32,1,0.7299000,34121,77853
126,1292.000000000000000,0.089722222222222,0,114334,114334,5305.899380804957218,13575.210431831746973,6855222.000000000000000,687,0,299,23.1424007,29,1,0.0774000,117,18383
127,2961.000000000000000,0.205624999999998,0,88413,88413,2546.545086119554981,8274.122496895210134,7540320.000000000000000,891,0,1219,41.1684990,118,1,0.0338000,13,5976
128,4771.000000000000000,0.331319444444442,0,38333,38333,194.485642422971807,953.625926572889853,927891.000000000000000,697,0,1135,23.7896004,11,1,0.0210000,55,395
129,2518.000000000000000,0.174861111111110,0,20756,20756,263.406274821286956,722.778215252472023,663257.000000000000000,631,0,632,25.0993004,15,1,0.0397000,87,620
130,9556.000000000000000,0.663611111111106,0,23247,23247,200.333193804938929,770.006217942997182,1914384.000000000000000,1099,0,4932,51.6115990,19,1,0.0105000,0,510
131,3830.000000000000000,0.265972222222220,0,19257,19257,225.255352480417656,711.070506958069814,862728.000000000000000,702,0,1283,33.4986992,15,1,0.0261000,36,546
